Title,Genre,Duration,Rating,Voting
Friendship,Comedy,1h 40m,7.2,9.4K
Anora,Comedy,2h 19m,7.5,202K
The Ministry of Ungentlemanly Warfare,Comedy,2h 2m,6.8,139K
Deadpool & Wolverine,Comedy,2h 8m,7.5,506K
A Real Pain,Comedy,1h 30m,7.1,104K
Moana 2,Comedy,1h 40m,6.6,108K
Beetlejuice Beetlejuice,Comedy,1h 45m,6.6,154K
My Old Ass,Comedy,1h 29m,6.9,41K
The Fall Guy,Comedy,2h 6m,6.8,226K
Freaky Tales,Comedy,1h 47m,6.2,7.1K
Cells at Work!,Comedy,1h 49m,6.7,662
Sonic the Hedgehog 3,Comedy,1h 50m,6.9,64K
Paddington in Peru,Comedy,1h 46m,6.7,25K
Sew Torn,Comedy,1h 40m,6.2,539
Saturday Night,Comedy,1h 49m,6.9,33K
Fight or Flight,Comedy,1h 42m,6.4,14K
Challengers,Comedy,2h 11m,7.0,158K
Borderlands,Comedy,1h 41m,4.7,50K
Goodrich,Comedy,1h 50m,6.3,5.9K
Argylle,Comedy,2h 19m,5.6,94K
Ghostbusters: Frozen Empire,Comedy,1h 55m,6.1,95K
The Friend,Comedy,1h 59m,6.3,2.9K
Inside Out 2,Comedy,1h 36m,7.5,222K
The Idea of You,Comedy,1h 55m,6.3,75K
A Different Man,Comedy,1h 52m,6.9,31K
Despicable Me 4,Comedy,1h 34m,6.2,68K
Bad Boys: Ride or Die,Comedy,1h 55m,6.5,102K
And the Breadwinner Is...,Comedy,2h 3m,6.1,398
Fly Me to the Moon,Comedy,2h 12m,6.6,52K
Kinds of Kindness,Comedy,2h 44m,6.5,61K
IF,Comedy,1h 44m,6.4,59K
The Union,Comedy,1h 47m,5.4,54K
Y2K,Comedy,1h 31m,4.8,16K
Red One,Comedy,2h 3m,6.3,142K
I Don't Understand You,Comedy,1h 37m,6.0,338
The Instigators,Comedy,1h 41m,6.2,39K
Cheers to Life,Comedy,1h 44m,5.1,196
It's What's Inside,Comedy,1h 43m,6.6,44K
Kung Fu Panda 4,Comedy,1h 34m,6.3,70K
Drive-Away Dolls,Comedy,1h 24m,5.4,24K
A Nice Indian Boy,Comedy,1h 36m,7.4,2K
Riff Raff,Comedy,1h 43m,5.7,3.9K
The Wonderful Story of Henry Sugar and Three More,Comedy,1h 28m,7.1,8K
Jane Austen Wrecked My Life,Comedy,1h 38m,6.5,720
Snack Shack,Comedy,1h 52m,7.0,13K
Beverly Hills Cop: Axel F,Comedy,1h 58m,6.4,82K
A Family Affair,Comedy,1h 51m,5.4,37K
F*** Marry Kill,Comedy,1h 37m,5.3,2.8K
The Killer's Game,Comedy,1h 44m,5.8,18K
Old Guy,Comedy,1h 34m,5.2,3K
